# --------------- PyTT output file ------------------ 
# input file: Simulations/CERN_SPS_WS_2008.txt 
# execution date and time: 2024/05/22 15:56:50 
# Particle: Proton   Material: Carbon 
# EdepMethod: EdepValue 
# dEdx: 1.2733333333333334 [MeV*cm2/g] 
# Outputs:               -----------------------------
# SEY protons: 0.003465538032766926 
# --------------------------------------------------- 
#   Time [us], Position [mm], Npart, MaxTemp [K], SEMcurr [uA], THcurr [uA] 
347.9,-4.43091,388700541.056622,330.625,1.321363467312474e-09,6.519210918711391e-82
350.35,-4.43042,389018279.757825,330.853,1.3224436003907034e-09,7.550658850120368e-82
352.8,-4.42993,389336243.008074,331.082,1.3235244968095377e-09,8.744743109701135e-82
355.25,-4.42944,389654430.933414,331.311,1.3246061569974588e-09,1.0127015834397167e-81
357.7,-4.42895,389972843.659932,331.54,1.3256885813830932e-09,1.17270286672776e-81
360.15,-4.42846,390291481.313758,331.769,1.326771770395209e-09,1.3578956337122714e-81
362.6,-4.42797,390610344.021063,331.999,1.3278557244627182e-09,1.5722317071651942e-81
365.05,-4.42748,390929431.908061,332.229,1.328940444014675e-09,1.8202804819015565e-81
367.5,-4.42699,391248745.101006,332.458,1.3300259294802775e-09,2.107325055807471e-81
369.95,-4.4265,391568283.726197,332.689,1.3311121812888654e-09,2.4394732637324943e-81
372.4,-4.42601,391888047.909972,332.919,1.332199199869922e-09,2.8237859149196695e-81
374.85,-4.42552,392208037.778713,333.149,1.3332869856530735e-09,3.268424888294405e-81
377.3,-4.42503,392528253.458844,333.38,1.3343755390680887e-09,3.782824147699991e-81
379.75,-4.42454,392848695.076829,333.611,1.3354648605448783e-09,4.377887209308331e-81
382.2,-4.42405,393169362.759177,333.842,1.336554950513497e-09,5.066215135431907e-81
384.65,-4.42356,393490256.632437,334.073,1.3376458094041423e-09,5.86236975376305e-81
387.1,-4.42307,393811376.8232,334.304,1.338737437647152e-09,6.783177521252269e-81
389.55,-4.42258,394132723.4581,334.536,1.3398298356730083e-09,7.848080281920524e-81
392.0,-4.42209,394454296.66381,334.768,1.3409230039123365e-09,9.079540124542492e-81
394.45,-4.4216,394776096.56705,334.999,1.3420169427959028e-09,1.0503506648597347e-80
396.9,-4.42111,395098123.294576,335.232,1.343111652754617e-09,1.2149956217222717e-80
399.35,-4.42062,395420376.973192,335.464,1.34420713421953e-09,1.4053514239639138e-80
401.8,-4.42013,395742857.729738,335.696,1.3453033876218366e-09,1.6254173211893187e-80
404.25,-4.41964,396065565.6911,335.929,1.3464004133928734e-09,1.8798121187513457e-80
406.7,-4.41915,396388500.984205,336.162,1.347498211964118e-09,2.173869758763628e-80
409.15,-4.41866,396711663.73602,336.395,1.3485967837671925e-09,2.5137495837904688e-80
411.6,-4.41817,397035054.073556,336.628,1.3496961292338595e-09,2.9065635288366815e-80
414.05,-4.41768,397358672.123864,336.862,1.3507962487960237e-09,3.3605228291843083e-80
416.5,-4.41719,397682518.014039,337.095,1.3518971428857332e-09,3.885107225361425e-80
418.95,-4.4167,398006591.871215,337.329,1.3529988119351777e-09,4.491260099923655e-80
421.4,-4.41621,398330893.822571,337.563,1.3541012563766885e-09,5.1916135027383405e-80
423.85,-4.41572,398655423.995326,337.798,1.3552044766427385e-09,6.000747622469819e-80
426.3,-4.41523,398980182.51674,338.032,1.3563084731659439e-09,6.935489953820159e-80
428.75,-4.41474,399305169.514115,338.267,1.3574132463790621e-09,8.015260206490378e-80
431.2,-4.41425,399630385.114797,338.501,1.3585187967149912e-09,9.262467918504068e-80
433.65,-4.41376,399955829.446172,338.736,1.359625124606774e-09,1.0702970791540522e-79
436.1,-4.41327,400281502.635666,338.971,1.3607322304875927e-09,1.2366602980071234e-79
438.55,-4.41278,400607404.81075,339.207,1.361840114790771e-09,1.428778396322553e-79
