# --------------- PyTT output file ------------------ 
# input file: Simulations/PSI_RRL590MeV.txt 
# execution date and time: 2025/01/25 16:53:10 
# Particle: Proton   Material: Carbon 
# EdepMethod: Interpolated 
# dEdx: 2.2696 [MeV*cm2/g] 
# Outputs:               -----------------------------
# SEY protons: 0.006771463820815146 
# --------------------------------------------------- 
#   Time [us], Position [mm], Npart, MaxTemp [K], SEMcurr [uA], THcurr [uA] 
60808.080808,-0.1952,3792.543965,1030.004,2.036712325051792e-07,1.0341285258934639e-16
60848.484848,-0.194,3796.017056,1030.004,2.0385774814375778e-07,1.0341285464267444e-16
60888.888889,-0.1928,3799.471882,1030.004,2.0404328286262191e-07,1.0341285669747157e-16
60929.292929,-0.1916,3802.908386,1030.004,2.0422783367357156e-07,1.0341285875372616e-16
60969.69697,-0.1904,3806.326513,1030.005,2.0441139760236335e-07,1.0341286081142664e-16
61010.10101,-0.1892,3809.726209,1030.005,2.045939716887918e-07,1.0341286287056115e-16
61050.505051,-0.188,3813.107419,1030.005,2.0477555298676725e-07,1.0341286493111807e-16
61090.909091,-0.1868,3816.470087,1030.005,2.0495613856439642e-07,1.0341286699308563e-16
61131.313131,-0.1856,3819.814159,1030.005,2.0513572550406025e-07,1.0341286905645199e-16
61171.717172,-0.1844,3823.139582,1030.005,2.0531431090249295e-07,1.0341287112120537e-16
61212.121212,-0.1832,3826.446301,1030.005,2.0549189187085998e-07,1.0341287318733387e-16
61252.525253,-0.182,3829.734264,1030.005,2.0566846553483567e-07,1.0341287525482565e-16
61292.929293,-0.1808,3833.003416,1030.005,2.0584402903468102e-07,1.0341287732366878e-16
61333.333333,-0.1796,3836.253706,1030.005,2.0601857952532072e-07,1.0341287939385137e-16
61373.737374,-0.1784,3839.485079,1030.005,2.061921141764198e-07,1.0341288146536139e-16
61414.141414,-0.1772,3842.697484,1030.005,2.063646301724602e-07,1.0341288353818689e-16
61454.545455,-0.176,3845.890869,1030.005,2.0653612471281665e-07,1.0341288561231579e-16
61494.949495,-0.1748,3849.065181,1030.005,2.0670659501183304e-07,1.0341288768773605e-16
61535.353535,-0.1736,3852.220369,1030.005,2.0687603829889652e-07,1.0341288976443559e-16
61575.757576,-0.1724,3855.356383,1030.005,2.070444518185138e-07,1.0341289184240245e-16
61616.161616,-0.1712,3858.47317,1030.005,2.0721183283038517e-07,1.0341289392162432e-16
61656.565657,-0.17,3861.57068,1030.005,2.073781786094786e-07,1.0341289600208907e-16
61696.969697,-0.1688,3864.648862,1030.005,2.0754348644610415e-07,1.034128980837846e-16
61737.373737,-0.1676,3867.707667,1030.005,2.0770775364598722e-07,1.0341290016669853e-16
61777.777778,-0.1664,3870.747045,1030.005,2.078709775303411e-07,1.0341290225081879e-16
61818.181818,-0.1652,3873.766945,1030.005,2.08033155435941e-07,1.03412904336133e-16
61858.585859,-0.164,3876.767319,1030.005,2.081942847151957e-07,1.034129064226289e-16
61898.989899,-0.1628,3879.748118,1030.005,2.083543627362189e-07,1.034129085102942e-16
61939.393939,-0.1616,3882.709292,1030.005,2.0851338688290255e-07,1.0341291059911653e-16
61979.79798,-0.1604,3885.650794,1030.005,2.0867135455498617e-07,1.0341291268908351e-16
62020.20202,-0.1592,3888.572576,1030.005,2.0882826316812892e-07,1.0341291478018277e-16
62060.606061,-0.158,3891.474589,1030.005,2.0898411015397967e-07,1.034129168724019e-16
62101.010101,-0.1568,3894.356785,1030.005,2.09138892960247e-07,1.0341291896572832e-16
62141.414141,-0.1556,3897.219119,1030.005,2.0929260905076872e-07,1.0341292106014979e-16
62181.818182,-0.1544,3900.061543,1030.005,2.094452559055815e-07,1.0341292315565355e-16
62222.222222,-0.1532,3902.884009,1030.005,2.095968310209892e-07,1.0341292525222726e-16
62262.626263,-0.152,3905.686473,1030.005,2.0974733190963156e-07,1.0341292734985828e-16
62303.030303,-0.1508,3908.468888,1030.005,2.0989675610055216e-07,1.034129294485341e-16
62343.434343,-0.1496,3911.231208,1030.005,2.1004510113926613e-07,1.0341293154824213e-16
62383.838384,-0.1484,3913.973387,1030.005,2.101923645878269e-07,1.0341293364896962e-16
62424.242424,-0.1472,3916.695382,1030.005,2.1033854402489372e-07,1.034129357507041e-16
62464.646465,-0.146,3919.397146,1030.005,2.1048363704579682e-07,1.0341293785343284e-16
62505.050505,-0.1448,3922.078636,1030.005,2.1062764126260466e-07,1.034129399571431e-16
62545.454545,-0.1436,3924.739807,1030.005,2.1077055430418838e-07,1.0341294206182229e-16
62585.858586,-0.1424,3927.380615,1030.005,2.1091237381628743e-07,1.034129441674576e-16
62626.262626,-0.1412,3930.001018,1030.005,2.1105309746157383e-07,1.0341294627403616e-16
62666.666667,-0.14,3932.600971,1030.005,2.1119272291971658e-07,1.0341294838154536e-16
62707.070707,-0.1388,3935.180432,1030.005,2.1133124788744536e-07,1.0341295048997233e-16
62747.474747,-0.1376,3937.739359,1030.005,2.114686700786139e-07,1.0341295259930423e-16
62787.878788,-0.1364,3940.277708,1030.005,2.1160498722426235e-07,1.0341295470952824e-16
62828.282828,-0.1352,3942.795439,1030.005,2.1174019707268052e-07,1.0341295682063143e-16
62868.686869,-0.134,3945.292509,1030.005,2.1187429738946932e-07,1.0341295893260105e-16
62909.090909,-0.1328,3947.768877,1030.005,2.1200728595760238e-07,1.0341296104542407e-16
62949.494949,-0.1316,3950.224503,1030.005,2.1213916057748712e-07,1.0341296315908761e-16
62989.89899,-0.1304,3952.659345,1030.005,2.1226991906702554e-07,1.0341296527357864e-16
63030.30303,-0.1292,3955.073364,1030.005,2.1239955926167408e-07,1.0341296738888425e-16
63070.707071,-0.128,3957.466518,1030.005,2.125280790145035e-07,1.0341296950499145e-16
63111.111111,-0.1268,3959.83877,1030.005,2.1265547619625825e-07,1.0341297162188724e-16
63151.515152,-0.1256,3962.190079,1030.005,2.1278174869541518e-07,1.034129737395585e-16
63191.919192,-0.1244,3964.520407,1030.005,2.129068944182414e-07,1.0341297585799226e-16
63232.323232,-0.1232,3966.829714,1030.005,2.1303091128885286e-07,1.034129779771755e-16
63272.727273,-0.122,3969.117962,1030.005,2.1315379724927135e-07,1.0341298009709497e-16
63313.131313,-0.1208,3971.385114,1030.005,2.132755502594815e-07,1.0341298221773764e-16
63353.535354,-0.1196,3973.631132,1030.005,2.133961682974871e-07,1.0341298433909032e-16
63393.939394,-0.1184,3975.855978,1030.005,2.13515649359367e-07,1.0341298646114004e-16
63434.343434,-0.1172,3978.059616,1030.005,2.136339914593309e-07,1.0341298858387347e-16
63474.747475,-0.116,3980.242009,1030.005,2.1375119262977426e-07,1.034129907072774e-16
63515.151515,-0.1148,3982.40312,1030.005,2.1386725092133227e-07,1.0341299283133872e-16
63555.555556,-0.1136,3984.542914,1030.005,2.139821644029349e-07,1.0341299495604417e-16
63595.959596,-0.1124,3986.661354,1030.005,2.140959311618595e-07,1.0341299708138052e-16
63636.363636,-0.1112,3988.758407,1030.005,2.1420854930378428e-07,1.034129992073345e-16
63676.767677,-0.11,3990.834036,1030.005,2.1432001695284106e-07,1.0341300133389291e-16
63717.171717,-0.1088,3992.888207,1030.005,2.1443033225166684e-07,1.0341300346104234e-16
63757.575758,-0.1076,3994.920887,1030.005,2.1453949336145567e-07,1.0341300558876951e-16
63797.979798,-0.1064,3996.93204,1030.005,2.1464749846200997e-07,1.0341300771706116e-16
63838.383838,-0.1052,3998.921634,1030.005,2.1475434575179055e-07,1.0341300984590389e-16
63878.787879,-0.104,4000.889635,1030.005,2.1486003344796705e-07,1.0341301197528431e-16
63919.191919,-0.1028,4002.836011,1030.005,2.1496455978646753e-07,1.0341301410518917e-16
63959.59596,-0.1016,4004.760729,1030.005,2.1506792302202735e-07,1.0341301623560493e-16
64000.0,-0.1004,4006.663756,1030.005,2.1517012142823808e-07,1.034130183665183e-16
64040.40404,-0.0992,4008.545062,1030.005,2.1527115329759486e-07,1.0341302049791579e-16
64080.808081,-0.098,4010.404614,1030.005,2.153710169415447e-07,1.0341302262978401e-16
64121.212121,-0.0968,4012.242381,1030.005,2.1546971069053344e-07,1.0341302476210951e-16
64161.616162,-0.0956,4014.058333,1030.005,2.1556723289405157e-07,1.034130268948788e-16
64202.020202,-0.0944,4015.85244,1030.005,2.156635819206809e-07,1.0341302902807836e-16
64242.424242,-0.0932,4017.624671,1030.005,2.157587561581399e-07,1.0341303116169478e-16
64282.828283,-0.092,4019.374997,1030.005,2.1585275401332857e-07,1.0341303329571459e-16
64323.232323,-0.0908,4021.103388,1030.005,2.1594557391237284e-07,1.0341303543012408e-16
64363.636364,-0.0896,4022.809816,1030.005,2.160372143006686e-07,1.0341303756490984e-16
64404.040404,-0.0884,4024.494251,1030.005,2.1612767364292532e-07,1.0341303970005839e-16
64444.444444,-0.0872,4026.156666,1030.005,2.1621695042320798e-07,1.0341304183555604e-16
64484.848485,-0.086,4027.797033,1030.005,2.16305043144981e-07,1.0341304397138927e-16
64525.252525,-0.0848,4029.415324,1030.005,2.1639195033114827e-07,1.0341304610754447e-16
64565.656566,-0.0836,4031.011512,1030.005,2.1647767052409585e-07,1.0341304824400814e-16
64606.060606,-0.0824,4032.58557,1030.006,2.165622022857321e-07,1.0341305038076654e-16
64646.464646,-0.0812,4034.137473,1030.006,2.166455441975276e-07,1.0341305251780608e-16
64686.868687,-0.08,4035.667193,1030.006,2.1672769486055547e-07,1.0341305465511316e-16
64727.272727,-0.0788,4037.174705,1030.006,2.1680865289553003e-07,1.0341305679267415e-16
64767.676768,-0.0776,4038.659985,1030.006,2.168884169428458e-07,1.0341305893047534e-16
64808.080808,-0.0764,4040.123006,1030.006,2.1696698566261517e-07,1.0341306106850307e-16
64848.484848,-0.0752,4041.563744,1030.006,2.1704435773470576e-07,1.0341306320674376e-16
64888.888889,-0.074,4042.982176,1030.006,2.171205318587784e-07,1.034130653451836e-16
64929.292929,-0.0728,4044.378277,1030.006,2.1719550675432227e-07,1.0341306748380887e-16
64969.69697,-0.0716,4045.752023,1030.006,2.1726928116069133e-07,1.0341306962260599e-16
65010.10101,-0.0704,4047.103393,1030.006,2.1734185383714012e-07,1.0341307176156109e-16
65050.505051,-0.0692,4048.432362,1030.006,2.1741322356285737e-07,1.0341307390066053e-16
65090.909091,-0.068,4049.738909,1030.006,2.1748338913700186e-07,1.0341307603989058e-16
65131.313131,-0.0668,4051.023012,1030.006,2.1755234937873443e-07,1.0341307817923743e-16
65171.717172,-0.0656,4052.284648,1030.006,2.176201031272521e-07,1.0341308031868746e-16
65212.121212,-0.0644,4053.523797,1030.006,2.1768664924182047e-07,1.0341308245822671e-16
65252.525253,-0.0632,4054.740439,1030.006,2.1775198660180521e-07,1.034130845978415e-16
65292.929293,-0.062,4055.934551,1030.006,2.1781611410670472e-07,1.0341308673751812e-16
65333.333333,-0.0608,4057.106115,1030.006,2.1787903067617954e-07,1.0341308887724262e-16
65373.737374,-0.0596,4058.25511,1030.006,2.1794073525008354e-07,1.0341309101700141e-16
65414.141414,-0.0584,4059.381518,1030.006,2.1800122678849386e-07,1.0341309315678048e-16
65454.545455,-0.0572,4060.485319,1030.006,2.1806050427173948e-07,1.0341309529656612e-16
65494.949495,-0.056,4061.566494,1030.006,2.1811856670043008e-07,1.0341309743634447e-16
65535.353535,-0.0548,4062.625026,1030.006,2.1817541309548464e-07,1.0341309957610176e-16
65575.757576,-0.0536,4063.660896,1030.006,2.182310424981583e-07,1.0341310171582407e-16
65616.161616,-0.0524,4064.674087,1030.006,2.1828545397006954e-07,1.0341310385549763e-16
65656.565657,-0.0512,4065.664582,1030.006,2.183386465932265e-07,1.0341310599510852e-16
65696.969697,-0.05,4066.632365,1030.006,2.1839061947005324e-07,1.0341310813464298e-16
65737.373737,-0.0488,4067.577418,1030.006,2.1844137172341395e-07,1.0341311027408714e-16
65777.777778,-0.0476,4068.499726,1030.006,2.1849090249663904e-07,1.0341311241342708e-16
65818.181818,-0.0464,4069.399273,1030.006,2.1853921095354783e-07,1.0341311455264899e-16
65858.585859,-0.0452,4070.276045,1030.006,2.1858629627847308e-07,1.0341311669173889e-16
65898.989899,-0.044,4071.130026,1030.006,2.186321576762837e-07,1.03413118830683e-16
65939.393939,-0.0428,4071.961202,1030.006,2.1867679437240657e-07,1.0341312096946737e-16
65979.79798,-0.0416,4072.769559,1030.006,2.1872020561284924e-07,1.0341312310807825e-16
66020.20202,-0.0404,4073.555083,1030.006,2.1876239066422047e-07,1.0341312524650156e-16
