# --------------- PyTT output file ------------------ 
# input file: Simulations/CERN_SPS_WS_2008.txt 
# execution date and time: 2024/05/23 09:21:26 
# Particle: Proton   Material: Carbon 
# EdepMethod: EdepValue 
# dEdx: 1.2733333333333334 [MeV*cm2/g] 
# Outputs:               -----------------------------
# SEY protons: 0.003465538032766926 
# --------------------------------------------------- 
#   Time [us], Position [mm], Npart, MaxTemp [K], SEMcurr [uA], THcurr [uA] 
71.2,-4.42969,141488953.161827,306.275,1.3240541940967597e-09,4.575874408522869e-89
72.09,-4.4288,141699029.426524,306.358,1.3260200886287173e-09,4.834861750522801e-89
72.98,-4.42791,141909375.296591,306.441,1.3279885061288053e-09,5.109607314134358e-89
73.87,-4.42702,142119991.046734,306.525,1.329959449167732e-09,5.401104356434697e-89
74.76,-4.42613,142330876.951826,306.608,1.3319329203177643e-09,5.710410438887994e-89
75.65,-4.42524,142542033.286907,306.692,1.3339089221527189e-09,6.038651684787449e-89
76.54,-4.42435,142753460.327181,306.776,1.3358874572479696e-09,6.387027324162626e-89
77.43,-4.42346,142965158.348021,306.86,1.337868528180442e-09,6.756814545910538e-89
78.32,-4.42257,143177127.624963,306.944,1.3398521375286144e-09,7.149373678286675e-89
79.21,-4.42168,143389368.433711,307.028,1.3418382878725167e-09,7.566153720369152e-89
80.1,-4.42079,143601881.050132,307.113,1.3438269817937284e-09,8.008698248695385e-89
80.99,-4.4199,143814665.750262,307.197,1.3458182218753799e-09,8.478651724960197e-89
81.88,-4.41901,144027722.810301,307.282,1.3478120107021508e-09,8.977766232487702e-89
82.77,-4.41812,144241052.506612,307.367,1.3498083508602676e-09,9.507908671125672e-89
83.66,-4.41723,144454655.115728,307.452,1.3518072449375062e-09,1.0071068442301216e-88
84.55,-4.41634,144668530.914344,307.537,1.3538086955231888e-09,1.0669365658208037e-88
85.44,-4.41545,144882680.179321,307.622,1.3558127052081816e-09,1.1305059911479778e-88
86.33,-4.41456,145097103.187686,307.707,1.3578192765848989e-09,1.1980559644279643e-88
87.22,-4.41367,145311800.21663,307.792,1.3598284122472971e-09,1.2698432158464261e-88
88.11,-4.41278,145526771.543508,307.878,1.361840114790877e-09,1.3461414311442032e-88
89.0,-4.41189,145742017.445843,307.963,1.3638543868126821e-09,1.4272423945479563e-88
89.89,-4.411,145957538.201319,308.049,1.365871230911298e-09,1.5134572101601957e-88
90.78,-4.41011,146173334.087788,308.135,1.3678906496868494e-09,1.6051176072850898e-88
91.67,-4.40922,146389405.383265,308.221,1.3699126457410053e-09,1.7025773355536248e-88
92.56,-4.40833,146605752.365929,308.307,1.3719372216769697e-09,1.8062136561297607e-88
93.45,-4.40744,146822375.314124,308.394,1.3739643800994876e-09,1.9164289357228209e-88
94.34,-4.40655,147039274.506359,308.48,1.3759941236148416e-09,2.0336523506113506e-88
95.23,-4.40566,147256450.221306,308.567,1.3780264548308512e-09,2.1583417083955703e-88
